Model,Load,Accuracy
SimpleCNN,0HP,100.0
ResNet18,0HP,100.0
CBAM-ResNet18,0HP,100.0
CNN-LSTM,0HP,100.0
SimpleCNN,1HP,96.96969696969697
ResNet18,1HP,95.77744659711873
CBAM-ResNet18,1HP,95.03229011425732
CNN-LSTM,1HP,95.08196721311475
SimpleCNN,2HP,95.57654075546719
ResNet18,2HP,94.28429423459245
CBAM-ResNet18,2HP,93.19085487077535
CNN-LSTM,2HP,94.93041749502981
SimpleCNN,3HP,93.8522558254834
ResNet18,3HP,92.95984134853744
CBAM-ResNet18,3HP,92.11700545364403
CNN-LSTM,3HP,94.0505701536936
