Model,Load,Accuracy
SimpleCNN,0HP,97.61406844106463
ResNet18,0HP,97.69961977186311
CBAM-ResNet18,0HP,97.11977186311788
CNN-LSTM,0HP,94.64828897338404
SimpleCNN,1HP,97.91356184798808
ResNet18,1HP,94.78390461997019
CBAM-ResNet18,1HP,93.74068554396423
CNN-LSTM,1HP,96.22454048683556
SimpleCNN,2HP,96.96819085487077
ResNet18,2HP,91.00397614314116
CBAM-ResNet18,2HP,90.4572564612326
CNN-LSTM,2HP,95.52683896620279
SimpleCNN,3HP,94.54635597421914
ResNet18,3HP,87.80366881507189
CBAM-ResNet18,3HP,89.53891918691126
CNN-LSTM,3HP,93.2077342588002
