Model,Load,Accuracy
SimpleCNN,0HP,99.99999999998123
ResNet18,0HP,99.81238273919327
CBAM-ResNet18,0HP,99.99999999998123
CNN-LSTM,0HP,99.99999999998123
SimpleCNN,1HP,96.96969696969215
ResNet18,1HP,97.36711376055155
CBAM-ResNet18,1HP,97.81420765026836
CNN-LSTM,1HP,96.17486338797336
SimpleCNN,2HP,95.67594433399127
ResNet18,2HP,95.87475149104891
CBAM-ResNet18,2HP,96.96819085486595
CNN-LSTM,2HP,94.98011928428951
SimpleCNN,3HP,92.2657411997971
ResNet18,3HP,93.55478433316343
CBAM-ResNet18,3HP,92.46405552800731
CNN-LSTM,3HP,94.00099157163639
